dim	title	meta	cites
RQ3	When Consensus Is Not Correctness: Diversity Collapse and Manufactured Overconfidence in Multi-Agent LLM Debate	KDD workshop	0
RQ3	Adaptive heterogeneous multi-agent debate for enhanced educational and factual reasoning	J King Saud Univ 2025	20
RQ3	Multi-Agent Debate Strategies: Survey, Taxonomy, and Challenges	arXiv 2607.26212	2
RQ1	Single-agent or multi-agent systems? Why not both?	arXiv 2025	48
RQ1	Understanding multi-agent LLM frameworks: A unified benchmark and experimental analysis	arXiv 2602.03128	13
RQ1	Beyond the leaderboard: Rethinking medical benchmarks for large language models	ACL 2026	17
RQ1	Leak, cheat, repeat: Data contamination and evaluation malpractices in closed-source LLMs	ACL 2024	451
RQ1	Benchmark data contamination of large language models: A survey	arXiv 2024	246
RQ1	LiveMedBench: A contamination-free medical benchmark for LLMs	arXiv 2026	12
RQ1	Benchmark Integrity and Reasoning-Trace Errors in Medical Question Answering With LLMs	JMIR 2026	0
RQ1	A reproducibility study on consistent LLM reasoning for NLI over clinical trials	ECIR 2025	9
RQ3	MAM: Modular multi-agent framework for multi-modal medical diagnosis via role-specialized collaboration	Findings ACL 2025	103
RQ3	MMedAgent-RL: Optimizing multi-agent collaboration for multimodal medical reasoning	ICLR 2026	68
RQ3	Tree-of-reasoning: complex medical diagnosis via multi-agent reasoning with evidence tree	ACM MM 2025	23
RQ3	SEMA-RAG: Self-Evolving Multi-Agent RAG Framework for Medical Reasoning	Findings ACL 2026	1
RQ3	Med-SRAF: Multi-Agent Framework for Medical Reasoning via Semantic Routing and Agentic Fusion	Findings 2026	1
RQ3	Agentic memory-augmented retrieval and evidence grounding for medical QA	Int J Med Informatics 2026	6
RQ3	MedAgents (Findings of ACL 2024)	Findings ACL 2024	600
RQ2	MAS-ZERO: Designing multi-agent systems with zero supervision	arXiv 2025	32
RQ2	Multi-agent evolve: LLM self-improve through co-evolution	arXiv 2025	65
RQ4	Difficulty-aware agentic orchestration for query-specific multi-agent workflows	ACM 2026	27
COST	AgentSlimming: Towards Efficient and Cost-Aware Multi-Agent Systems	ACL 2026	1
COST	AgentTaxo: Dissecting and benchmarking token distribution of LLM multi-agent systems	ICLR workshop 2025	29
COST	AgentBalance: Backbone-then-topology design for cost-effective multi-agent systems under budget constraints	arXiv 2512.11426	6
COST	Budgeted Multi-Agent Routing: Adaptive Role Assignment and Communication Compression for Efficient LLM-Agent Collaboration	IEEE 2025	15
COST	CodeAgents: A token-efficient framework for codified multi-agent reasoning in LLMs	arXiv 2507.03254	14
COST	Token economics for LLM agents: A dual-view study from computing and economics	arXiv 2026	6
COST	Doing more with less: A survey on routing strategies for resource optimisation in LLM-based systems	JAIR 2026	23
RQ3	MedConMA: A confidence-driven multi-agent framework for medical Q&A	PAKDD 2025	4
RQ3	Agents that Matter: Optimizing Multi-Agent LLMs via Removal-Based Attribution	arXiv 2605.27621	1
RQ2	A survey on collaborative mechanisms between large and small language models	arXiv 2505.07460	42
RQ3	The landscape of medical agents: A survey	TechRxiv 2025	18
RQ1	A statistical framework for evaluating the repeatability and reproducibility of large language models	medRxiv 2025	29
RQ1	When Large Language Models Fail in Healthcare: Evaluating Sensitivity to Prompt Variations	arXiv 2606.07237	1
RQ1	Large language models in healthcare: a systematic evaluation on medical Q/A datasets	Health Inf Sci Syst 2025	8
RQ1	Prompt Sensitivity and Answer Consistency of Small Open-Source Language Models for Clinical QA	arXiv 2603.00917	0
RQ3	LLM-MedQA: Enhancing medical question answering through case studies	IJCNN 2025	75
RQ3	Towards medical complex reasoning with LLMs through medical verifiable problems	Findings ACL 2025	74
RQ3	CRITIC-RAG: Knowledge-Augmented LLMs With Verified Retrieval for Improved Medical Reasoning	IEEE JBHI 2026	1
RQ3	Enhancing large language models for improved accuracy and safety in medical question answering	JMIR Med Educ 2025	16
RQ1	MediQ: Question-asking LLMs and a benchmark for reliable interactive clinical reasoning	NeurIPS 2024	237
