row_id,study,arxiv_id,year,benchmark,backbone,scale_band,n_agents,mechanism,acc_mas,acc_base,baseline_type,delta_acc,R_est,R_source,notes,pub_status,domain,split,sampling_method,n_items,eg_tier,attribution_flag
R11,MDTeamGPT,2503.13856,2025,PubMedQA,GPT-4,S6_closed,5,role+debate+memory,83.9,75.3,same-backbone-single,8.6,NA,unknown,,preprint,medical,,,,secondary,
R12,MedAgents-in-MDTeam,2503.13856,2025,MedQA,GPT-4,S6_closed,7,role+synthesis,83.7,77.4,same-backbone-single,6.3,NA,unknown,reproduced comparator,preprint,medical,,,,primary,
R13,LLM-Discussion,2503.13856,2025,MedQA,GPT-4,S6_closed,NA,debate,80.4,77.4,same-backbone-single,3.0,NA,unknown,,preprint,medical,,,,primary,
R14,MediHive,2603.27150,2026,MedQA,unspecified,S6_closed,5,decentralized-collective,84.3,71.5,zero-shot,12.8,NA,unknown,,published:IEEE ICHI / J Healthc Inform Res,medical,,,,primary,
R15,MediHive,2603.27150,2026,MedQA,unspecified,S6_closed,5,decentralized-collective,84.3,73.8,zeroshot-CoT-SC,10.5,NA,unknown,,published:IEEE ICHI / J Healthc Inform Res,medical,,,,primary,
R16,MediHive,2603.27150,2026,PubMedQA,unspecified,S6_closed,5,decentralized-collective,78.4,69.3,zero-shot,9.1,NA,unknown,,published:IEEE ICHI / J Healthc Inform Res,medical,,,,secondary,
R17,GoA,2604.17148,2026,MedMCQA,6-model-pool,mixed,3,graph+heterogeneous,60.04,55.22,best-single-agent,4.82,3,derived,GoA-Max 3 agents,published:ICLR 2026,medical,,,,primary,
R18,MoA-baseline,2604.17148,2026,MedMCQA,6-model-pool,mixed,6,mixture-of-agents,54.94,55.22,best-single-agent,-0.28,6,derived,MAS below best single agent,published:ICLR 2026,medical,,,,primary,
R19,Debate-baseline,2604.17148,2026,MedMCQA,6-model-pool,mixed,6,debate,53.05,55.22,best-single-agent,-2.17,6,derived,MAS below best single agent,published:ICLR 2026,medical,,,,primary,
R20,SC-baseline,2604.17148,2026,MedMCQA,6-model-pool,mixed,1,self-consistency,55.70,55.22,best-single-agent,0.48,6,derived,non-interactive control arm,published:ICLR 2026,medical,,,,primary,
R21,ReConcile,2604.17148,2026,MedMCQA,6-model-pool,mixed,6,debate+confidence,54.60,55.22,best-single-agent,-0.62,6,derived,,published:ICLR 2026,medical,,,,primary,
R22,Self-MoA,2604.17148,2026,MedMCQA,6-model-pool,mixed,6,mixture-of-agents-homog,55.56,55.22,best-single-agent,0.34,6,derived,,published:ICLR 2026,medical,,,,primary,
R23,RelationalAgg,2606.00405,2026,MedMCQA,6-model-pool,mixed,6,structured-message-passing,62.83,55.22,best-single-agent,7.61,6,derived,,preprint,medical,,,,primary,
R24,CatfishAgent,2505.21503,2025,MedQA-hard,o3-mini,S6_closed,NA,role+devil-advocate,62.0,53.0,same-backbone-single,9.0,NA,unknown,MedAgentsBench hard subset,preprint,medical,,,,primary,
R25,CatfishAgent,2505.21503,2025,PubMedQA-hard,o3-mini,S6_closed,NA,role+devil-advocate,34.0,16.0,same-backbone-single,18.0,NA,unknown,,preprint,medical,,,,secondary,
R26,CatfishAgent,2505.21503,2025,MedMCQA-hard,o3-mini,S6_closed,NA,role+devil-advocate,45.0,24.0,same-backbone-single,21.0,NA,unknown,,preprint,medical,,,,primary,
R27,CatfishAgent,2505.21503,2025,MedBullets-hard,o3-mini,S6_closed,NA,role+devil-advocate,66.3,50.6,same-backbone-single,15.7,NA,unknown,,preprint,medical,,,,secondary,
R28,CURE,2510.14353,2025,MedQA,Qwen3-30B-A3B+Phi4-14B+Gemma2-12B,S3_10-35B,3,heterogeneous+confidence-routing,74.1,73.0,zero-shot,1.1,3,derived,paper reports +1.1 over zero-shot,published:Big Data Cogn. Comput.,medical,,,,primary,
R29,CURE,2510.14353,2025,MedQA,same,S3_10-35B,3,heterogeneous+confidence-routing,74.1,68.0,same-backbone-single,6.1,3,derived,,published:Big Data Cogn. Comput.,medical,,,,primary,
R30,CURE,2510.14353,2025,MedMCQA,same,S3_10-35B,3,heterogeneous+confidence-routing,78.0,70.3,zero-shot,7.7,3,derived,,published:Big Data Cogn. Comput.,medical,,,,primary,
R31,CURE,2510.14353,2025,PubMedQA,same,S3_10-35B,3,heterogeneous+confidence-routing,95.0,93.0,zero-shot,2.0,3,derived,,published:Big Data Cogn. Comput.,medical,,,,secondary,
R32,MultiLLM-Collab,2505.16648,2025,USMLE-avg,Med42-70B,S4_35-90B,3,collaboration,76.72,71.48,zeroshot-CoT-SC,5.24,NA,unknown,consensus rate 50.82->82.62,published:IEEE ICHI,medical,,,,evidence-map,
R33,MedCritical,2509.23368,2025,CMExam-test,Qwen2.5-7B,S2_4-10B,2,self-collaborative-correction+FT,71.29,52.81,same-backbone-single,18.48,2,derived,student 7B,preprint,medical,,,,primary,
R34,MedCritical,2509.23368,2025,CMExam-test,Qwen2.5-7B,S2_4-10B,2,self-collaborative-correction+FT,71.29,67.52,QwQ-32B-teacher,3.77,NA,derived,7B system beats 32B teacher,preprint,medical,,,,primary,
R35,ConsistencyVerif,2603.24481,2026,MedQA-250,unspecified,S6_closed,4,specialist-panel+verification,NA,57.2,avg-specialist,NA,4,derived,specialist baselines 54.4-58.4,preprint,medical,,,,primary,
R36,ComputeEff-MoA,2605.01566,2026,MMLU-Pro,Llama3.1-70B+8B,S4_35-90B,NA,mixture-of-agents,71.4,64.3,CoT,7.1,NA,reported,general-domain; Pareto analysis,published:ACL 2026,general,,,,background,
R37,ComputeEff-SC,2605.01566,2026,MMLU-Pro,Llama3.1-70B+8B,S4_35-90B,1,self-consistency,68.7,64.3,CoT,4.4,NA,reported,non-interactive control,published:ACL 2026,general,,,,background,
R38,ComputeEff-Debate,2605.01566,2026,MMLU-Pro,Llama3.1-70B+8B,S4_35-90B,NA,debate,70.0,64.3,CoT,5.7,NA,reported,,published:ACL 2026,general,,,,background,
R39,ComputeEff-difficulty,2605.01566,2026,MMLU-Pro-easy,Llama3.1,S4_35-90B,NA,scaled-compute,96.6,94.4,CoT,2.2,20,reported,15-20x CoT budget,published:ACL 2026,general,,,,background,
R40,ComputeEff-difficulty,2605.01566,2026,MMLU-Pro-medium,Llama3.1,S4_35-90B,NA,scaled-compute,61.5,53.0,CoT,8.5,20,reported,,published:ACL 2026,general,,,,background,
R41,ComputeEff-difficulty,2605.01566,2026,MMLU-Pro-hard,Llama3.1,S4_35-90B,NA,scaled-compute,17.4,8.4,CoT,9.0,20,reported,,published:ACL 2026,general,,,,secondary,
P01,MCC-debate,PMC12866169,2026,MedQA,GPT-o1+QwQ+DeepSeek-R1,S6_closed,3,debate+confrontation,94.2,91.8,best-single-agent,2.4,12,derived,Cell Reports Medicine; 3 agents x 3 debate rounds,published:Cell Rep Med,medical,,,,primary,
P02,MCC-debate,PMC12866169,2026,MetaMedQA,same,S6_closed,3,debate+confrontation,84.1,81.7,best-single-agent,2.4,12,derived,vs DeepSeek-R1 81.7; GPT-o1 76.1; QwQ 72.6,published:Cell Rep Med,medical,,,,primary,
P03,CouncilOfAIs,PMC12510544,2025,USMLE-all,multi-vendor,S6_closed,5,deliberation+consensus,94.7,78.2,initial-agreement-subset,16.5,10,derived,PLOS Digit Health; deliberation OR 5.0 (1.1-22.8) incorrect->correct,published:PLOS Digit Health,medical,,,,evidence-map,
P04,MDAgents-EUNACOM,PMC12057199,2025,EUNACOM,unspecified,S6_closed,NA,adaptive-collaboration,89.97,87.67,best-single-agent,2.30,21.14,reported,BMC Med Educ; CoT+few-shot 87.67 described by authors as optimal performance/efficiency balance | 【Epoch3 补】原文 Table1 自报 MDAGENTS 21.14 calls / 192.44s，单代理基线 1.00 call,published:BMC Med Educ,medical,,,,primary,
P05,MDAgents-EUNACOM,PMC12057199,2025,EUNACOM,unspecified,S6_closed,NA,adaptive-collaboration,89.97,85.90,zero-shot,4.07,21.14,reported,"same study, weaker comparator | 【Epoch3 补】原文 Table1 自报 MDAGENTS 21.14 calls / 192.44s，单代理基线 1.00 call",published:BMC Med Educ,medical,,,,primary,
P06,ClusterEnsemble,PMC12337233,2025,PubMedQA,Llama2-13B+MedLlama+MedAlpaca,S3_10-35B,3,ensemble+dynamic-selection,96.36,93.09,best-single-agent,3.27,3,derived,JMIR; non-interactive ensemble,published:JMIR,medical,,,,secondary,
P07,ClusterEnsemble,PMC12337233,2025,MedQA-USMLE,same,S3_10-35B,3,ensemble+dynamic-selection,38.13,37.26,best-single-agent,0.87,3,derived,below MID,published:JMIR,medical,,,,primary,
P08,OpenManus-MedAssist,PMC13031301,2026,MIMIC-IV-task,GPT-4.1/Qwen-3/Llama-4,mixed,NA,agentic+tools,28.0,24.0,agent-without-enhancement,4.0,NA,unknown,npj Digital Medicine; authors report difference NOT statistically significant,published:npj Digit Med,medical,,,,evidence-map,
B01,MedAgents,2505.12371,2026,MedQA,DeepSeek-V3-0324,S4_35-90B,3,MedAgents,85.25,89.90,best-single-agent,-4.65,5,derived,"MedAgentBoard controlled comparison; same backbone, 200 sampled items, bootstrapped SD",published:NeurIPS 2026,medical,test,sampled-200,200,primary,
B02,ColaCare,2505.12371,2026,MedQA,DeepSeek-V3-0324,S4_35-90B,3,ColaCare,84.65,89.90,best-single-agent,-5.25,5,derived,same,published:NeurIPS 2026,medical,test,sampled-200,200,primary,
B03,MDAgents,2505.12371,2026,MedQA,DeepSeek-V3-0324,S4_35-90B,3,MDAgents,78.80,89.90,best-single-agent,-11.10,5,derived,same,published:NeurIPS 2026,medical,test,sampled-200,200,primary,
B04,ReConcile,2505.12371,2026,MedQA,DeepSeek-V3-0324,S4_35-90B,3,ReConcile,78.00,89.90,best-single-agent,-11.90,5,derived,heterogeneous agents,published:NeurIPS 2026,medical,test,sampled-200,200,primary,
B05,MedAgents,2505.12371,2026,PubMedQA,DeepSeek-V3-0324,S4_35-90B,3,MedAgents,83.85,83.35,best-single-agent,0.50,5,derived,best single = CoT-SC,published:NeurIPS 2026,medical,test,sampled-200,200,secondary,
B06,ColaCare,2505.12371,2026,PubMedQA,DeepSeek-V3-0324,S4_35-90B,3,ColaCare,83.50,83.35,best-single-agent,0.15,5,derived,same,published:NeurIPS 2026,medical,test,sampled-200,200,secondary,
B07,MDAgents,2505.12371,2026,PubMedQA,DeepSeek-V3-0324,S4_35-90B,3,MDAgents,77.20,83.35,best-single-agent,-6.15,5,derived,same,published:NeurIPS 2026,medical,test,sampled-200,200,secondary,
B08,ReConcile,2505.12371,2026,PubMedQA,DeepSeek-V3-0324,S4_35-90B,3,ReConcile,77.85,83.35,best-single-agent,-5.50,5,derived,same,published:NeurIPS 2026,medical,test,sampled-200,200,secondary,
B09,MedAgents,2505.12371,2026,MedQA,DeepSeek-V3-0324,S4_35-90B,3,MedAgents,85.25,77.50,zero-shot,7.75,5,derived,"same study, weak comparator — illustrates comparator effect within one paper",published:NeurIPS 2026,medical,test,sampled-200,200,primary,
B10,MedAgents,2505.12371,2026,MedQA,DeepSeek-V3-0324,S4_35-90B,3,MedAgents,85.25,77.70,zeroshot-CoT-SC,7.55,5,derived,vs non-interactive SC at same backbone,published:NeurIPS 2026,medical,test,sampled-200,200,primary,
D01,MDAgents,2404.15155,2024,MedQA,GPT-4,S6_closed,3,adaptive-collaboration,88.7,83.9,best-single-agent,4.8,1.86,reported-MAS/assumed-baseline,MDAgents 主表(GPT-4)；最佳单代理 = CoT-SC 83.9 (MedQA) / Few-shot 63.1 (PubMedQA) | 成本修正：原文自报 MDAgents=9.3 API calls；基线按 best-single-agent=5 calls 计,published:NeurIPS 2024,medical,test,full-or-subset-unclear,,primary,
D02,MajorityVoting,2404.15155,2024,MedQA,GPT-4,S6_closed,3,vote,80.6,83.9,best-single-agent,-3.3,3,derived-uncertain,MDAgents 主表(GPT-4)；最佳单代理 = CoT-SC 83.9 (MedQA) / Few-shot 63.1 (PubMedQA) | 该方法调用数原文未单独报告，R 为架构推算，标注不确定,published:NeurIPS 2024,medical,test,full-or-subset-unclear,,primary,
D03,WeightedVoting,2404.15155,2024,MedQA,GPT-4,S6_closed,3,vote-weighted,78.8,83.9,best-single-agent,-5.1,3,derived-uncertain,MDAgents 主表(GPT-4)；最佳单代理 = CoT-SC 83.9 (MedQA) / Few-shot 63.1 (PubMedQA) | 该方法调用数原文未单独报告，R 为架构推算，标注不确定,published:NeurIPS 2024,medical,test,full-or-subset-unclear,,primary,
D04,BordaCount,2404.15155,2024,MedQA,GPT-4,S6_closed,3,vote-borda,70.3,83.9,best-single-agent,-13.6,3,derived-uncertain,MDAgents 主表(GPT-4)；最佳单代理 = CoT-SC 83.9 (MedQA) / Few-shot 63.1 (PubMedQA) | 该方法调用数原文未单独报告，R 为架构推算，标注不确定,published:NeurIPS 2024,medical,test,full-or-subset-unclear,,primary,
D05,MedAgents,2404.15155,2024,MedQA,GPT-4,S6_closed,3,role+synthesis,79.1,83.9,best-single-agent,-4.8,4.06,reported-MAS/assumed-baseline,MDAgents 主表(GPT-4)；最佳单代理 = CoT-SC 83.9 (MedQA) / Few-shot 63.1 (PubMedQA) | 成本修正：原文自报 MedAgents=20.3 API calls；基线按 best-single-agent=5 calls 计,published:NeurIPS 2024,medical,test,full-or-subset-unclear,,primary,
D06,MetaPrompting,2404.15155,2024,MedQA,GPT-4,S6_closed,3,meta-prompting,80.6,83.9,best-single-agent,-3.3,3,derived-uncertain,MDAgents 主表(GPT-4)；最佳单代理 = CoT-SC 83.9 (MedQA) / Few-shot 63.1 (PubMedQA) | 该方法调用数原文未单独报告，R 为架构推算，标注不确定,published:NeurIPS 2024,medical,test,full-or-subset-unclear,,primary,
D07,ReConcile,2404.15155,2024,MedQA,GPT-4,S6_closed,3,debate+confidence,81.3,83.9,best-single-agent,-2.6,3,derived-uncertain,MDAgents 主表(GPT-4)；最佳单代理 = CoT-SC 83.9 (MedQA) / Few-shot 63.1 (PubMedQA) | 该方法调用数原文未单独报告，R 为架构推算，标注不确定,published:NeurIPS 2024,medical,test,full-or-subset-unclear,,primary,
D08,MDAgents,2404.15155,2024,PubMedQA,GPT-4,S6_closed,3,adaptive-collaboration,75.0,63.1,best-single-agent,11.9,1.86,reported-MAS/assumed-baseline,MDAgents 主表(GPT-4)；最佳单代理 = CoT-SC 83.9 (MedQA) / Few-shot 63.1 (PubMedQA) | 成本修正：原文自报 MDAgents=9.3 API calls；基线按 best-single-agent=5 calls 计,published:NeurIPS 2024,medical,test,full-or-subset-unclear,,secondary,
D09,MajorityVoting,2404.15155,2024,PubMedQA,GPT-4,S6_closed,3,vote,72.2,63.1,best-single-agent,9.1,3,derived-uncertain,MDAgents 主表(GPT-4)；最佳单代理 = CoT-SC 83.9 (MedQA) / Few-shot 63.1 (PubMedQA) | 该方法调用数原文未单独报告，R 为架构推算，标注不确定,published:NeurIPS 2024,medical,test,full-or-subset-unclear,,secondary,
D10,MedAgents,2404.15155,2024,PubMedQA,GPT-4,S6_closed,3,role+synthesis,69.7,63.1,best-single-agent,6.6,4.06,reported-MAS/assumed-baseline,MDAgents 主表(GPT-4)；最佳单代理 = CoT-SC 83.9 (MedQA) / Few-shot 63.1 (PubMedQA) | 成本修正：原文自报 MedAgents=20.3 API calls；基线按 best-single-agent=5 calls 计,published:NeurIPS 2024,medical,test,full-or-subset-unclear,,secondary,
D11,ReConcile,2404.15155,2024,PubMedQA,GPT-4,S6_closed,3,debate+confidence,79.7,63.1,best-single-agent,16.6,3,derived-uncertain,MDAgents 主表(GPT-4)；最佳单代理 = CoT-SC 83.9 (MedQA) / Few-shot 63.1 (PubMedQA) | 该方法调用数原文未单独报告，R 为架构推算，标注不确定,published:NeurIPS 2024,medical,test,full-or-subset-unclear,,secondary,
D12,MDAgents,2404.15155,2024,MedQA,GPT-4,S6_closed,3,adaptive-collaboration,88.7,75.0,zero-shot,13.7,9.30,reported-MAS/assumed-baseline,同一研究内弱对照，演示对照效应 | 成本修正：原文自报 MDAgents=9.3 API calls；基线按 zero-shot=1 calls 计,published:NeurIPS 2024,medical,test,full-or-subset-unclear,,primary,
L01,MajorityVoting,2509.23725,2026,MedDDx-Basic,LLaMA3.1-8B,S2_4-10B,3,MajorityVoting,39.6,43.4,same-backbone-single,-3.8,3,derived,MedLA(AAAI2026) 表1；同 backbone 基线；难度三档 Basic/Intermediate/Expert,published:AAAI 2026,medical,test,full,,evidence-map,
L02,MajorityVoting,2509.23725,2026,MedDDx-Intermediate,LLaMA3.1-8B,S2_4-10B,3,MajorityVoting,32.8,36.8,same-backbone-single,-4.0,3,derived,MedLA(AAAI2026) 表1；同 backbone 基线；难度三档 Basic/Intermediate/Expert,published:AAAI 2026,medical,test,full,,evidence-map,
L03,MajorityVoting,2509.23725,2026,MedDDx-Expert,LLaMA3.1-8B,S2_4-10B,3,MajorityVoting,30.2,30.6,same-backbone-single,-0.4,3,derived,MedLA(AAAI2026) 表1；同 backbone 基线；难度三档 Basic/Intermediate/Expert,published:AAAI 2026,medical,test,full,,evidence-map,
L04,DyLAN,2509.23725,2026,MedDDx-Basic,LLaMA3.1-8B,S2_4-10B,3,DyLAN,39.3,43.4,same-backbone-single,-4.1,3,derived,MedLA(AAAI2026) 表1；同 backbone 基线；难度三档 Basic/Intermediate/Expert,published:AAAI 2026,medical,test,full,,evidence-map,
L05,DyLAN,2509.23725,2026,MedDDx-Intermediate,LLaMA3.1-8B,S2_4-10B,3,DyLAN,33.5,36.8,same-backbone-single,-3.3,3,derived,MedLA(AAAI2026) 表1；同 backbone 基线；难度三档 Basic/Intermediate/Expert,published:AAAI 2026,medical,test,full,,evidence-map,
L06,DyLAN,2509.23725,2026,MedDDx-Expert,LLaMA3.1-8B,S2_4-10B,3,DyLAN,31.1,30.6,same-backbone-single,0.5,3,derived,MedLA(AAAI2026) 表1；同 backbone 基线；难度三档 Basic/Intermediate/Expert,published:AAAI 2026,medical,test,full,,evidence-map,
L07,MedAgents,2509.23725,2026,MedDDx-Basic,LLaMA3.1-8B,S2_4-10B,3,MedAgents,41.0,43.4,same-backbone-single,-2.4,3,derived,MedLA(AAAI2026) 表1；同 backbone 基线；难度三档 Basic/Intermediate/Expert,published:AAAI 2026,medical,test,full,,evidence-map,
L08,MedAgents,2509.23725,2026,MedDDx-Intermediate,LLaMA3.1-8B,S2_4-10B,3,MedAgents,35.7,36.8,same-backbone-single,-1.1,3,derived,MedLA(AAAI2026) 表1；同 backbone 基线；难度三档 Basic/Intermediate/Expert,published:AAAI 2026,medical,test,full,,evidence-map,
L09,MedAgents,2509.23725,2026,MedDDx-Expert,LLaMA3.1-8B,S2_4-10B,3,MedAgents,32.9,30.6,same-backbone-single,2.3,3,derived,MedLA(AAAI2026) 表1；同 backbone 基线；难度三档 Basic/Intermediate/Expert,published:AAAI 2026,medical,test,full,,evidence-map,
L10,MDAgents,2509.23725,2026,MedDDx-Basic,LLaMA3.1-8B,S2_4-10B,3,MDAgents,42.1,43.4,same-backbone-single,-1.3,3,derived,MedLA(AAAI2026) 表1；同 backbone 基线；难度三档 Basic/Intermediate/Expert,published:AAAI 2026,medical,test,full,,evidence-map,
L11,MDAgents,2509.23725,2026,MedDDx-Intermediate,LLaMA3.1-8B,S2_4-10B,3,MDAgents,37.5,36.8,same-backbone-single,0.7,3,derived,MedLA(AAAI2026) 表1；同 backbone 基线；难度三档 Basic/Intermediate/Expert,published:AAAI 2026,medical,test,full,,evidence-map,
L12,MDAgents,2509.23725,2026,MedDDx-Expert,LLaMA3.1-8B,S2_4-10B,3,MDAgents,33.4,30.6,same-backbone-single,2.8,3,derived,MedLA(AAAI2026) 表1；同 backbone 基线；难度三档 Basic/Intermediate/Expert,published:AAAI 2026,medical,test,full,,evidence-map,
L11_2,MedLA,2509.23725,2026,MedDDx-Basic,LLaMA3.1-8B,S2_4-10B,3,logic-tree-multi-agent,48.2,43.4,same-backbone-single,4.8,3,derived,MedLA 自身系统（提出者自评）,published:AAAI 2026,medical,test,full,,evidence-map,
L12_2,MedLA,2509.23725,2026,MedDDx-Intermediate,LLaMA3.1-8B,S2_4-10B,3,logic-tree-multi-agent,43.0,36.8,same-backbone-single,6.2,3,derived,MedLA 自身系统（提出者自评）,published:AAAI 2026,medical,test,full,,evidence-map,
L13,MedLA,2509.23725,2026,MedDDx-Expert,LLaMA3.1-8B,S2_4-10B,3,logic-tree-multi-agent,41.7,30.6,same-backbone-single,11.1,3,derived,MedLA 自身系统（提出者自评）,published:AAAI 2026,medical,test,full,,evidence-map,
S01,MoE-router,2511.06727,2026,MedMCQA,pool vs Qwen2.5-72B,S4_35-90B,4,MoE-router,75.45,80.44,best-single-agent,-4.99,4,derived,S-DAG(AAAI2026) 表3；7B 模型池 vs 单个 72B 的 CoT,published:AAAI 2026,medical,test,unclear,,primary,
S02,MoE-router,2511.06727,2026,MedMCQA,Qwen2.5-7B pool,S2_4-10B,4,MoE-router,75.45,72.07,same-scale-single,3.38,4,derived,S-DAG 表3；同规模 7B 单模型对照,published:AAAI 2026,medical,test,unclear,,primary,
S03,GraphRouter,2511.06727,2026,MedMCQA,pool vs Qwen2.5-72B,S4_35-90B,4,GraphRouter,76.92,80.44,best-single-agent,-3.52,4,derived,S-DAG(AAAI2026) 表3；7B 模型池 vs 单个 72B 的 CoT,published:AAAI 2026,medical,test,unclear,,primary,
S04,GraphRouter,2511.06727,2026,MedMCQA,Qwen2.5-7B pool,S2_4-10B,4,GraphRouter,76.92,72.07,same-scale-single,4.85,4,derived,S-DAG 表3；同规模 7B 单模型对照,published:AAAI 2026,medical,test,unclear,,primary,
S05,MAD-debate,2511.06727,2026,MedMCQA,pool vs Qwen2.5-72B,S4_35-90B,4,MAD-debate,76.55,80.44,best-single-agent,-3.89,4,derived,S-DAG(AAAI2026) 表3；7B 模型池 vs 单个 72B 的 CoT,published:AAAI 2026,medical,test,unclear,,primary,
S06,MAD-debate,2511.06727,2026,MedMCQA,Qwen2.5-7B pool,S2_4-10B,4,MAD-debate,76.55,72.07,same-scale-single,4.48,4,derived,S-DAG 表3；同规模 7B 单模型对照,published:AAAI 2026,medical,test,unclear,,primary,
S07,Symbolic-MoE,2511.06727,2026,MedMCQA,pool vs Qwen2.5-72B,S4_35-90B,4,Symbolic-MoE,78.55,80.44,best-single-agent,-1.89,4,derived,S-DAG(AAAI2026) 表3；7B 模型池 vs 单个 72B 的 CoT,published:AAAI 2026,medical,test,unclear,,primary,
S08,Symbolic-MoE,2511.06727,2026,MedMCQA,Qwen2.5-7B pool,S2_4-10B,4,Symbolic-MoE,78.55,72.07,same-scale-single,6.48,4,derived,S-DAG 表3；同规模 7B 单模型对照,published:AAAI 2026,medical,test,unclear,,primary,
S09,S-DAG,2511.06727,2026,MedMCQA,pool vs Qwen2.5-72B,S4_35-90B,4,S-DAG,78.38,80.44,best-single-agent,-2.06,4,derived,S-DAG(AAAI2026) 表3；7B 模型池 vs 单个 72B 的 CoT,published:AAAI 2026,medical,test,unclear,,primary,
S10,S-DAG,2511.06727,2026,MedMCQA,Qwen2.5-7B pool,S2_4-10B,4,S-DAG,78.38,72.07,same-scale-single,6.31,4,derived,S-DAG 表3；同规模 7B 单模型对照,published:AAAI 2026,medical,test,unclear,,primary,
S11,Self-Refine,2511.06727,2026,MedMCQA,pool vs Qwen2.5-72B,S4_35-90B,4,Self-Refine,74.58,80.44,best-single-agent,-5.86,4,derived,S-DAG(AAAI2026) 表3；7B 模型池 vs 单个 72B 的 CoT,published:AAAI 2026,medical,test,unclear,,primary,
S12,Self-Refine,2511.06727,2026,MedMCQA,Qwen2.5-7B pool,S2_4-10B,4,Self-Refine,74.58,72.07,same-scale-single,2.51,4,derived,S-DAG 表3；同规模 7B 单模型对照,published:AAAI 2026,medical,test,unclear,,primary,
G01,MedCPT,2605.17101,2026,MedQA,deepseek-v3.1,S4_35-90B,1,rag-single-agent,73.84,77.53,same-backbone-CoT-noRAG,-3.69,,unknown,SEMA-RAG(Findings ACL 2026) 表；同 backbone 的 RAG 有/无对照,published:Findings ACL 2026,medical,test,,,primary,
G02,MedCPT,2605.17101,2026,MedMCQA,deepseek-v3.1,S4_35-90B,1,rag-single-agent,62.66,71.69,same-backbone-CoT-noRAG,-9.03,,unknown,SEMA-RAG(Findings ACL 2026) 表；同 backbone 的 RAG 有/无对照,published:Findings ACL 2026,medical,test,,,primary,
G03,MedRAG,2605.17101,2026,MedQA,deepseek-v3.1,S4_35-90B,1,rag-single-agent,77.14,77.53,same-backbone-CoT-noRAG,-0.39,,unknown,SEMA-RAG(Findings ACL 2026) 表；同 backbone 的 RAG 有/无对照,published:Findings ACL 2026,medical,test,,,primary,
G04,MedRAG,2605.17101,2026,MedMCQA,deepseek-v3.1,S4_35-90B,1,rag-single-agent,67.99,71.69,same-backbone-CoT-noRAG,-3.70,,unknown,SEMA-RAG(Findings ACL 2026) 表；同 backbone 的 RAG 有/无对照,published:Findings ACL 2026,medical,test,,,primary,
G05,i-MedRAG,2605.17101,2026,MedQA,deepseek-v3.1,S4_35-90B,1,rag-single-agent,74.78,77.53,same-backbone-CoT-noRAG,-2.75,,unknown,SEMA-RAG(Findings ACL 2026) 表；同 backbone 的 RAG 有/无对照,published:Findings ACL 2026,medical,test,,,primary,
