rid,src,date,tier,score,fBench,title,link,queries
AX2603.24481,arxiv,2026-03-25,T1_review,6,True,Multi-Agent Reasoning with Consistency Verification Improves Uncertainty Calibration in Medical MCQA,https://arxiv.org/abs/2603.24481,"Q01,Q04,Q05,Q09,Q12,Q13,Q02,S03"
AX2603.27150,arxiv,2026-03-28,T1_review,6,True,MediHive: A Decentralized Agent Collective for Medical Reasoning,https://arxiv.org/abs/2603.27150,"Q01,Q03,Q04,Q05,Q06,Q08,Q10,Q12,Q14,S03"
AX2607.15280,arxiv,2026-04-08,T1_review,6,True,GraphDx: A Cost-Aware Knowledge-Enhanced Multi-Agent Framework for Sequential Diagnosis,https://arxiv.org/abs/2607.15280,"Q04,Q07,Q08"
AX2606.01434,arxiv,2026-05-31,T1_review,6,True,DrugClaw and DrugAudit: A Primary-Source-Grounded Agent and Authority-Aware Benchmark for Drug-Information Question Answering,https://arxiv.org/abs/2606.01434,"Q02,Q04,Q05,Q12"
AX2606.08457,arxiv,2026-06-07,T1_review,6,True,The Consistency Illusion: How Multi-Agent Debate Hides Reasoning Misalignment,https://arxiv.org/abs/2606.08457,"Q01,Q04,Q05,Q12,Q13"
AX2606.15419,arxiv,2026-06-13,T1_review,6,True,Let LLMs Judge Each Other: Multi-Agent Peer-Reviewed Reasoning for Medical Question Answering,https://arxiv.org/abs/2606.15419,"Q01,Q03,Q04,Q05,Q12,Q13,S03"
AX2606.22419,arxiv,2026-06-21,T1_review,6,True,Knowledge-Graph Grounding Helps LLMs Only for Out-of-Training Knowledge: A Controlled Study on Clinical Question Answering,https://arxiv.org/abs/2606.22419,Q04
AX2606.25334,arxiv,2026-06-24,T1_review,6,True,Bridging the Post-discharge Gap: A Traceable Multi-agent Framework for Safe and Continuous Care,https://arxiv.org/abs/2606.25334,"Q01,Q02,Q03,Q10,Q11"
AX2608.03744,arxiv,2026-08-04,T1_review,6,True,Agents Catching Agents: Shortcut Cascades and Benchmark Gaming in Clinical Multi-Agent Systems,https://arxiv.org/abs/2608.03744,"Q04,Q09,Q13"
AX2303.17071,arxiv,2023-03-30,T3_out,5,True,DERA: Enhancing Large Language Model Completions with Dialog-Enabled Resolving Agents,https://arxiv.org/abs/2303.17071,"Q04,Q13"
AX2308.14641,arxiv,2023-08-28,T3_out,5,True,Challenges of GPT-3-based Conversational Agents for Healthcare,https://arxiv.org/abs/2308.14641,"Q04,Q03"
AX2309.02884,arxiv,2023-09-06,T3_out,5,True,Aligning Large Language Models for Clinical Tasks,https://arxiv.org/abs/2309.02884,Q03
AX2309.16035,arxiv,2023-09-27,T3_out,5,True,MKRAG: Medical Knowledge Retrieval Augmented Generation for Medical Question Answering,https://arxiv.org/abs/2309.16035,Q03
AX2310.09089,arxiv,2023-10-13,T3_out,5,True,Qilin-Med: Multi-stage Knowledge Injection Advanced Medical Large Language Model,https://arxiv.org/abs/2310.09089,Q03
AX2405.02957,arxiv,2024-05-05,T3_out,5,True,Agent Hospital: A Simulacrum of Hospital with Evolvable Medical Agents,https://arxiv.org/abs/2405.02957,"Q04,Q13"
AX2405.07960,arxiv,2024-05-13,T3_out,5,True,AgentClinic: a multimodal agent benchmark to evaluate AI in simulated clinical environments,https://arxiv.org/abs/2405.07960,Q04
AX2406.06573,arxiv,2024-06-03,T3_out,5,True,MedFuzz: Exploring the Robustness of Large Language Models in Medical Question Answering,https://arxiv.org/abs/2406.06573,Q03
AX2406.01428,arxiv,2024-06-03,T3_out,5,True,Superhuman performance in urology board questions by an explainable large language model enabled for context integration of the European Association of Urology guidelines: the UroBot study,https://arxiv.org/abs/2406.01428,Q03
AX2406.06331,arxiv,2024-06-10,T3_out,5,True,MedExQA: Medical Question Answering Benchmark with Multiple Explanations,https://arxiv.org/abs/2406.06331,Q03
AX2408.00727,arxiv,2024-08-01,T3_out,5,True,Improving Retrieval-Augmented Generation in Medicine with Iterative Follow-up Questions,https://arxiv.org/abs/2408.00727,Q03
AX2409.10540,arxiv,2024-08-31,T3_out,5,True,Beyond Flashcards: Designing an Intelligent Assistant for USMLE Mastery and Virtual Tutoring in Medical Education (A Study on Harnessing Chatbot Technology for Personalized Step 1 Prep),https://arxiv.org/abs/2409.10540,Q13
AX2409.15127,arxiv,2024-09-23,T3_out,5,True,Pareto-Optimized Open-Source LLMs for Healthcare via Context Retrieval,https://arxiv.org/abs/2409.15127,Q03
AX2410.21348,arxiv,2024-10-28,T3_out,5,True,Large Language Model Benchmarks in Medical Tasks,https://arxiv.org/abs/2410.21348,Q03
AX2411.15640,arxiv,2024-11-23,T3_out,5,True,"AfriMed-QA: A Pan-African, Multi-Specialty, Medical Question-Answering Benchmark Dataset",https://arxiv.org/abs/2411.15640,Q03
AX2502.00674,arxiv,2025-02-02,T3_out,5,True,Rethinking Mixture-of-Agents: Is Mixing Different Large Language Models Beneficial?,https://arxiv.org/abs/2502.00674,S10
AX2502.11271,arxiv,2025-02-16,T3_out,5,True,OctoTools: An Agentic Framework with Extensible Tools for Complex Reasoning,https://arxiv.org/abs/2502.11271,"Q04,Q05"
AX2502.14302,arxiv,2025-02-20,T3_out,5,True,MedHallu: A Comprehensive Benchmark for Detecting Medical Hallucinations in Large Language Models,https://arxiv.org/abs/2502.14302,Q03
AX2503.05641,arxiv,2025-03-07,T3_out,5,True,Skill-Based Mixture-of-Experts: Adaptive Routing for Heterogeneous Reasoning via Inferred Skills,https://arxiv.org/abs/2503.05641,Q09
AX2503.15454,arxiv,2025-03-19,T3_out,5,True,Bias Evaluation and Mitigation in Retrieval-Augmented Medical Question-Answering Systems,https://arxiv.org/abs/2503.15454,Q03
AX2505.10113,arxiv,2025-05-15,T3_out,5,True,What Does Neuro Mean to Cardio? Investigating the Role of Clinical Specialty Data in Medical LLMs,https://arxiv.org/abs/2505.10113,Q03
AX2505.19562,arxiv,2025-05-26,T3_out,5,True,FairMedQA: Benchmarking Bias in Large Language Models for Medical Question Answering,https://arxiv.org/abs/2505.19562,Q03
AX2506.12182,arxiv,2025-06-13,T3_out,5,True,Instruction Tuning and CoT Prompting for Contextual Medical QA with LLMs,https://arxiv.org/abs/2506.12182,Q03
AX2507.18143,arxiv,2025-07-24,T3_out,5,True,HIVMedQA: Benchmarking large language models for HIV medical decision support,https://arxiv.org/abs/2507.18143,Q03
AX2508.00923,arxiv,2025-07-30,T3_out,5,True,Addressing Benchmarking Gaps in Large Language Models for Health and Medicine with Dynamic Red-Teaming,https://arxiv.org/abs/2508.00923,Q04
AX2509.00974,arxiv,2025-08-31,T3_out,5,True,RPRO: Ranked Preference Reinforcement Optimization for Enhancing Medical QA and Diagnostic Reasoning,https://arxiv.org/abs/2509.00974,Q03
AX2509.11078,arxiv,2025-09-14,T3_out,5,True,Patient-Zero: Scaling Synthetic Patient Agents to Real-World Distributions without Real Patient Data,https://arxiv.org/abs/2509.11078,"Q04,Q11,Q14"
AX2509.14269,arxiv,2025-09-15,T3_out,5,True,SparseDoctor: Towards Efficient Chat Doctor with Mixture of Experts Enhanced Large Language Models,https://arxiv.org/abs/2509.14269,Q03
AX2509.11656,arxiv,2025-09-15,T3_out,5,True,MALLM: Multi-Agent Large Language Models Framework,https://arxiv.org/abs/2509.11656,S08
AX2509.24107,arxiv,2025-09-28,T3_out,5,True,Fathom-DeepResearch: Unlocking Long Horizon Information Retrieval and Synthesis for SLMs,https://arxiv.org/abs/2509.24107,"Q04,Q05"
AX2510.12255,arxiv,2025-10-14,T3_out,5,True,"Shallow Robustness, Deep Vulnerabilities: Multi-Turn Evaluation of Medical LLMs",https://arxiv.org/abs/2510.12255,Q03
AX2511.05528,arxiv,2025-10-29,T3_out,5,True,SMAGDi: Socratic Multi Agent Interaction Graph Distillation for Efficient High Accuracy Reasoning,https://arxiv.org/abs/2511.05528,S08
AX2511.06441,arxiv,2025-11-09,T3_out,5,True,Towards Resource-Efficient Multimodal Intelligence: Learned Routing among Specialized Expert Models,https://arxiv.org/abs/2511.06441,Q12
AX2511.06727,arxiv,2025-11-10,T3_out,5,True,S-DAG: A Subject-Based Directed Acyclic Graph for Multi-Agent Heterogeneous Reasoning,https://arxiv.org/abs/2511.06727,Q09
AX2512.05863,arxiv,2025-12-05,T3_out,5,True,Optimizing Medical Question-Answering Systems: A Comparative Study of Fine-Tuned and Zero-Shot Large Language Models with RAG Framework,https://arxiv.org/abs/2512.05863,Q03
AX2512.05658,arxiv,2025-12-05,T3_out,5,True,Multilingual Medical Reasoning for Question Answering with Large Language Models,https://arxiv.org/abs/2512.05658,Q03
AX2512.07608,arxiv,2025-12-08,T3_out,5,True,Metric-Fair Prompting: Treating Similar Samples Similarly,https://arxiv.org/abs/2512.07608,Q03
PM42583150,pubmed,2026,T3_out,5,True,Graph-of-Agents: A Graph-based Framework for Multi-Agent LLM Collaboration.,https://pubmed.ncbi.nlm.nih.gov/42583150/,P02
PM42045532,pubmed,2026,T3_out,5,True,AgentClinic: a multimodal benchmark for tool-using clinical AI agents.,https://pubmed.ncbi.nlm.nih.gov/42045532/,P02
PM41581125,pubmed,2026,T3_out,5,True,An artificial intelligence-driven platform for practice question generation.,https://pubmed.ncbi.nlm.nih.gov/41581125/,P02
AX2601.01260,arxiv,2026-01-03,T3_out,5,True,MambaFormer: Token-Level Guided Routing Mixture-of-Experts for Accurate and Efficient Clinical Assistance,https://arxiv.org/abs/2601.01260,Q03
AX2601.04531,arxiv,2026-01-08,T3_out,5,True,Self-MedRAG: a Self-Reflective Hybrid Retrieval-Augmented Generation Framework for Reliable Medical Question Answering,https://arxiv.org/abs/2601.04531,Q03
AX2602.20130,arxiv,2026-02-23,T3_out,5,True,To Reason or Not to: Selective Chain-of-Thought in Medical Question Answering,https://arxiv.org/abs/2602.20130,Q03
AX2602.23864,arxiv,2026-02-27,T3_out,5,True,RUMAD: Reinforcement-Unifying Multi-Agent Debate,https://arxiv.org/abs/2602.23864,S08
AX2604.00261,arxiv,2026-03-31,T3_out,5,True,Can Large Language Models Self-Correct in Medical Question Answering? An Exploratory Study,https://arxiv.org/abs/2604.00261,Q03
AX2604.07274,arxiv,2026-04-08,T3_out,5,True,A Systematic Study of Retrieval Pipeline Design for Retrieval-Augmented Medical Question Answering,https://arxiv.org/abs/2604.07274,Q03
AX2604.07667,arxiv,2026-04-09,T3_out,5,True,From Debate to Decision: Conformal Social Choice for Safe Multi-Agent Deliberation,https://arxiv.org/abs/2604.07667,S08
AX2604.09482,arxiv,2026-04-10,T3_out,5,True,Process Reward Agents for Steering Knowledge-Intensive Reasoning,https://arxiv.org/abs/2604.09482,"Q04,Q14"
AX2604.10316,arxiv,2026-04-11,T3_out,5,True,Comparative Analysis of Large Language Models in Healthcare,https://arxiv.org/abs/2604.10316,Q03
AX2604.15456,arxiv,2026-04-16,T3_out,5,True,DeepER-Med: Advancing Deep Evidence-Based Research in Medicine Through Agentic AI,https://arxiv.org/abs/2604.15456,Q04
AX2604.17148,arxiv,2026-04-18,T3_out,5,True,Graph-of-Agents: A Graph-based Framework for Multi-Agent LLM Collaboration,https://arxiv.org/abs/2604.17148,"Q09,S10"
AX2604.23801,arxiv,2026-04-26,T3_out,5,True,Domain Fine-Tuning vs. Retrieval-Augmented Generation for Medical Multiple-Choice Question Answering: A Controlled Comparison at the 4B-Parameter Scale,https://arxiv.org/abs/2604.23801,Q03
AX2605.00914,arxiv,2026-04-29,T3_out,5,True,The Cost of Consensus: Isolated Self-Correction Prevails Over Unguided Homogeneous Multi-Agent Debate,https://arxiv.org/abs/2605.00914,S08
AX2605.01566,arxiv,2026-05-02,T3_out,5,True,Multi-Agent Reasoning Improves Compute Efficiency: Pareto-Optimal Test-Time Scaling,https://arxiv.org/abs/2605.01566,"S08,S10"
AX2606.00405,arxiv,2026-05-29,T3_out,5,True,From Talking Words to Sharing Thoughts: Scalable Multi-LLM Aggregation via Structured Message Passing,https://arxiv.org/abs/2606.00405,Q09
AX2606.00820,arxiv,2026-05-30,T3_out,5,True,Not All Flips Are Conformity: Decomposing Stance Convergence in Multi-Agent LLM Debate,https://arxiv.org/abs/2606.00820,S08
AX2606.13197,arxiv,2026-06-11,T3_out,5,True,ARMOR-MAD: Adaptive Routing for Heterogeneous Multi-Agent Debate in Large Language Model Reasoning,https://arxiv.org/abs/2606.13197,S08
AX2606.29375,arxiv,2026-06-28,T3_out,5,True,TriageRA-CCF: Source-Side Clinical Confidence and Coverage Signals for Adaptive Rank Budgeting in Medical LLMs,https://arxiv.org/abs/2606.29375,Q03
AX2607.27384,arxiv,2026-07-29,T3_out,5,True,"Same Facts, Different Diagnosis: Measuring and Mitigating Narrative Anchoring in Clinical Language Models",https://arxiv.org/abs/2607.27384,Q13
AX2608.04893,arxiv,2026-08-05,T3_out,5,True,When Does Latent Communication Pay? A Causal Audit of Relayed KV Caches in Multi-Agent LLMs,https://arxiv.org/abs/2608.04893,"Q04,Q05"
AX2608.08942,arxiv,2026-08-09,T3_out,5,True,"Same Question, Different Answer? Measuring and Mitigating Prompt Privilege for Equitable AI Access",https://arxiv.org/abs/2608.08942,Q04
AX2608.09080,arxiv,2026-08-10,T3_out,5,True,When Confidence Fails: Overconfidence in LLMs under Uncertainty and Missing Clinical Information,https://arxiv.org/abs/2608.09080,Q03
AX2608.19029,arxiv,2026-08-19,T3_out,5,True,Adaptive Memory and Reflection Multi-Agent System for Medical Question Answering,https://arxiv.org/abs/2608.19029,"Q01,Q04,Q05,Q09,Q10,S03"
AX2608.22802,arxiv,2026-08-24,T3_out,5,True,SDoH-Aware Narrative Anchoring Bias in Medical LLMs for Trustworthy Clinical Decision Support,https://arxiv.org/abs/2608.22802,Q03
AX2609.01361,arxiv,2026-09-01,T3_out,5,True,"Investigating Linear Probe Robustness to Linguistic Register, Medical Specialty, and Corpus Shifts in Medical QA",https://arxiv.org/abs/2609.01361,Q03
AX2609.01045,arxiv,2026-09-01,T3_out,5,True,AgentFactory: Towards Automated Agentic System Design and Optimization,https://arxiv.org/abs/2609.01045,Q04
AX2609.02191,arxiv,2026-09-02,T3_out,5,True,Examining the Vulnerability of Multi-Agent Medical Systems to Human Interventions for Clinical Reasoning,https://arxiv.org/abs/2609.02191,"Q01,Q02,Q04,Q05,S03"
AX2609.07194,arxiv,2026-09-07,T3_out,5,True,EmoMed: An Emotionally-Aware Agent for Multimodal Medical Support with Real-Time Information Retrieval,https://arxiv.org/abs/2609.07194,"Q04,S03"
PM38009003,pubmed,2023,T1_review,4,False,"Evaluation of the Performance of Generative AI Large Language Models ChatGPT, Google Bard, and Microsoft Bing Chat in Supporting Evidence-Based Dentistry: Comparative Mixed Methods Study.",https://pubmed.ncbi.nlm.nih.gov/38009003/,P03
PM37821756,pubmed,2023,T1_review,4,False,[ChatGPT: aid to medical ethics decision making?].,https://pubmed.ncbi.nlm.nih.gov/37821756/,P03
PM37792871,pubmed,2023,T1_review,4,False,Performance of ChatGPT-4 in answering questions from the Brazilian National Examination for Medical Degree Revalidation.,https://pubmed.ncbi.nlm.nih.gov/37792871/,P03
PM37131648,pubmed,2023,T1_review,4,False,Research Letter: Application of GPT-4 to select next-step antidepressant treatment in major depression.,https://pubmed.ncbi.nlm.nih.gov/37131648/,P03
PM36868690,pubmed,2023,T1_review,4,False,Informing clinical assessment by contextualizing post-hoc explanations of risk prediction models in type-2 diabetes.,https://pubmed.ncbi.nlm.nih.gov/36868690/,P03
AX2305.05609,arxiv,2023-05-09,T1_review,4,False,The Case Records of ChatGPT: Language Models and Complex Clinical Questions,https://arxiv.org/abs/2305.05609,Q08
AX2305.10163,arxiv,2023-05-17,T1_review,4,False,Large Language Models Leverage External Knowledge to Extend Clinical Insight Beyond Language Boundaries,https://arxiv.org/abs/2305.10163,Q03
PM41031082,pubmed,2024,T1_review,4,False,Language Enhanced Model for Eye (LEME): An Open-Source Ophthalmology-Specific Large Language Model.,https://pubmed.ncbi.nlm.nih.gov/41031082/,P02
PM38875575,pubmed,2024,T1_review,4,False,Assessment of ChatGPT-3.5's Knowledge in Oncology: Comparative Study with ASCO-SEP Benchmarks.,https://pubmed.ncbi.nlm.nih.gov/38875575/,P02
PM39725770,pubmed,2024,T1_review,4,False,Applications and Future Prospects of Medical LLMs: A Survey Based on the M-KAT Conceptual Framework.,https://pubmed.ncbi.nlm.nih.gov/39725770/,P01
PM39388255,pubmed,2024,T1_review,4,False,A Novel Cognitive Behavioral Therapy-Based Generative AI Tool (Socrates 2.0) to Facilitate Socratic Dialogue: Protocol for a Mixed Methods Feasibility Study.,https://pubmed.ncbi.nlm.nih.gov/39388255/,P01
PM39217985,pubmed,2024,T1_review,4,False,Generative AI in Critical Care Nephrology: Applications and Future Prospects.,https://pubmed.ncbi.nlm.nih.gov/39217985/,P01
PM39753218,pubmed,2024,T1_review,4,False,Slit Lamp Report Generation and Question Answering: Development and Validation of a Multimodal Transformer Model with Large Language Model Integration.,https://pubmed.ncbi.nlm.nih.gov/39753218/,P03
PM39552958,pubmed,2024,T1_review,4,False,Harnessing Artificial Intelligence for Advancing Medical Manuscript Composition: Applications and Ethical Considerations.,https://pubmed.ncbi.nlm.nih.gov/39552958/,P03
PM39466245,pubmed,2024,T1_review,4,False,Large Language Model Influence on Diagnostic Reasoning: A Randomized Clinical Trial.,https://pubmed.ncbi.nlm.nih.gov/39466245/,P03
PM39355902,pubmed,2024,T1_review,4,False,Efficacy of large language models and their potential in Obstetrics and Gynecology education.,https://pubmed.ncbi.nlm.nih.gov/39355902/,P03
PM39287525,pubmed,2024,T1_review,4,False,Constructing a Large Language Model to Generate Impressions from Findings in Radiology Reports.,https://pubmed.ncbi.nlm.nih.gov/39287525/,P03
PM39236407,pubmed,2024,T1_review,4,False,ChatGPT and neurosurgical education: A crossroads of innovation and opportunity.,https://pubmed.ncbi.nlm.nih.gov/39236407/,P03
PM39123288,pubmed,2024,T1_review,4,False,"The utility of artificial intelligence platforms for patient-generated questions in Mohs micrographic surgery: a multi-national, blinded expert panel evaluation.",https://pubmed.ncbi.nlm.nih.gov/39123288/,P03
PM39073590,pubmed,2024,T1_review,4,False,Using artificial intelligence to generate medical literature for urology patients: a comparison of three different large language models.,https://pubmed.ncbi.nlm.nih.gov/39073590/,P03
PM39001375,pubmed,2024,T1_review,4,False,Testing and Validation of a Custom Retrained Large Language Model for the Supportive Care of HN Patients with External Knowledge Base.,https://pubmed.ncbi.nlm.nih.gov/39001375/,P03
PM38597198,pubmed,2024,T1_review,4,False,Are Generative Pretrained Transformer 4 Responses to Developmental Dysplasia of the Hip Clinical Scenarios Universal? An International Review.,https://pubmed.ncbi.nlm.nih.gov/38597198/,P03
PM38533615,pubmed,2024,T1_review,4,False,"Comparing the Perspectives of Generative AI, Mental Health Experts, and the General Public on Schizophrenia Recovery: Case Vignette Study.",https://pubmed.ncbi.nlm.nih.gov/38533615/,P03
PM38517757,pubmed,2024,T1_review,4,False,How Does ChatGPT Use Source Information Compared With Google? A Text Network Analysis of Online Health Information.,https://pubmed.ncbi.nlm.nih.gov/38517757/,P03
PM38423884,pubmed,2024,T1_review,4,False,Artificial Intelligence for Anesthesiology Board-Style Examination Questions: Role of Large Language Models.,https://pubmed.ncbi.nlm.nih.gov/38423884/,P03
PM38381486,pubmed,2024,T1_review,4,False,"Evaluating Large Language Models for the National Premedical Exam in India: Comparative Analysis of GPT-3.5, GPT-4, and Bard.",https://pubmed.ncbi.nlm.nih.gov/38381486/,P03
PM38353523,pubmed,2024,T1_review,4,False,A Quantitative Assessment of ChatGPT as a Neurosurgical Triaging Tool.,https://pubmed.ncbi.nlm.nih.gov/38353523/,P03
